vdnumber,registered,valid,spoilt,total
21870390,2104,1694,32,1726
86741422,186,89,1,90
32951853,4695,3972,16,3988
76280687,375,298,2,300
22490131,388,352,8,360
43390548,3543,2523,45,2568
43504411,411,320,3,323
76280463,1295,829,29,858
76161023,377,229,3,232
33090353,1464,1179,11,1190
32871056,3951,2648,23,2671
22590053,1732,1326,7,1333
86670276,540,503,6,509
10250277,1660,1040,3,1043
43624942,277,197,3,200
97120065,1154,1383,4,1387
76330537,300,180,1,181
97130785,1644,1353,11,1364
11390329,854,506,6,512
11620987,85,38,10,48
97360117,256,161,3,164
10460034,1354,1052,4,1056
43870169,609,634,28,662
43360590,1327,1070,9,1079
43772766,226,170,2,172
76160572,846,541,14,555
97140292,1846,1288,2,1290
10790478,144,100,0,100
76450372,457,347,4,351
10910674,304,183,4,187
11070302,332,209,4,213
76480027,2531,1266,14,1280
11560047,1293,811,8,819
43582743,979,766,13,779
76170629,298,237,6,243
65660069,56,22,0,22
32960178,2425,1811,11,1822
43774106,755,497,13,510
22250056,743,644,19,663
10870242,2386,1464,11,1475
22020118,1309,867,20,887
32930568,3976,3011,46,3057
32840636,1158,1080,5,1085
97130112,3160,2525,7,2532
22400053,128,77,0,77
86990956,839,552,11,563
43772913,121,88,3,91
33030616,816,787,10,797
33020244,2729,2000,22,2022
43418505,696,519,29,548
76210949,1509,836,6,842
54880083,2040,1466,27,1493
10870534,384,264,10,274
43625415,301,212,7,219
11631181,208,158,2,160
87020164,1762,1177,0,1177
32930872,2333,1867,20,1887
54800029,3411,2371,31,2402
11070346,738,456,7,463
43693230,775,708,16,724
97200244,1700,1035,14,1049
76230468,175,121,1,122
33010423,2007,1362,22,1384
11070144,533,366,0,366
11070852,371,261,2,263
54890264,1493,1131,31,1162
43390122,3394,1920,0,1920
76540057,971,719,7,726
33030144,2463,1653,22,1675
10510063,251,139,2,141
22020062,892,615,17,632
65990043,87,72,1,73
43991231,1235,933,21,954
54910087,1890,1161,19,1180
86580232,465,420,5,425
86820431,136,74,0,74
