OBJECTID,FKLPROVID,SPROVINCE,FKLMUNICID,SMUNICIPAL,FKLWARDID,PKLVDNUMBE
16946,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702025.00000,76250178.00000
16947,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701010.00000,76250189.00000
16948,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702018.00000,76250190.00000
16949,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702018.00000,76250202.00000
16950,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702019.00000,76250213.00000
16951,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702019.00000,76250224.00000
16952,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702023.00000,76250246.00000
16953,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702021.00000,76250257.00000
16954,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702028.00000,76250268.00000
16955,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702021.00000,76250279.00000
16956,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701012.00000,76250291.00000
16957,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701012.00000,76250303.00000
16958,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701011.00000,76250314.00000
16959,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701016.00000,76250325.00000
16960,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701016.00000,76250336.00000
16961,7.00000,Limpopo,5020.00000,LIM471 - Ephraim Mogale [Marble Hall],94701016.00000,76250347.00000
16962,7.00000,Limpopo,5021.00000,LIM472 - Elias Motsoaledi [Groblersdal],94702027.00000,76250358.00000
